user1,mean
166059,3
166365,2
166398,2
166523,3
166570,2
166699,2
166937,3
167078,2
167626,3
168999,3
169142,2
169472,3
169637,2
169798,3
169987,2.833333333
170036,3
170327,3
170474,2
170740,3
171084,3
171298,2
172063,2
172084,3
172245,2.875
172326,2
172551,3
173127,3
173164,3
173257,2
173635,3
173982,3
174260,2
174315,3
174418,2
174573,3
174890,3
175100,2
175118,2
175261,2
175293,2
175362,2
175455,3
175646,2
175715,3
175893,2
175921,3
175928,2
175946,3
175987,3
176714,3
176742,3
176858,3
177215,2
177477,3
177647,2
177666,3
177687,2
177772,2
178210,2
178919,2
179023,2
179213,2
179272,2
179356,2
179755,3
179777,2
180038,2
180624,2
181002,2
181124,2.833333333
181324,3
181401,3
181700,3
182039,3
182289,3
182505,3
182509,3
182699,3
182752,3
182788,3
182808,3
182837,3
182847,2
183396,3
184092,3
184189,2
184259,2.75
184690,2
184880,3
185017,3
185072,3
185438,3
185857,3
186048,3
186106,3
186608,3
186756,3
186875,2
187017,3
187184,2
187262,2
187279,3
187516,3
187819,3
187955,3
188044,3
188144,2
188947,3
189131,3
189172,3
189175,2
189192,2
189256,3
189426,3
189455,2
189802,3
189913,2.888888889
190195,2
190432,2
190579,3
190671,2
190817,3
190930,3
191197,3
191645,2
191776,3
191887,2
191921,2
191933,2.9375
192081,3
192315,3
192333,3
192997,3
193204,2
193310,2
193528,2.977272727
193611,2
193620,2
193652,3
194223,3
194480,3
194822,2
195188,2
195287,2
195602,3
195609,3
195613,2
195824,2
195892,3
195976,2
196058,3
196709,3
196746,3
196790,3
196806,3
197189,3
197206,3
197218,3
198074,2.875
198492,3
198689,3
198691,3
199016,3
199198,2
199357,2
199489,3
200180,3
200396,3
200762,3
201282,3
201371,3
201737,2
202244,3
202365,3
202693,3
202721,2
203388,3
203703,3
204047,3
204056,3
204095,2
204355,2
204451,3
204653,3
204657,2
204680,3
204745,3
205130,2
205132,3
205331,2
205538,2
206419,2
206831,3
206962,2
207048,3
207227,2
207443,2.923076923
207613,3
207767,3
208361,2
208700,3
209002,3
209257,3
209266,2
209558,3
209646,2
209738,3
209900,3
209929,2
210117,3
210149,3
210423,3
210581,3
210831,2
211093,3
211105,2
211118,2
211325,2
211330,2
211375,3
211420,3
211683,2
211995,3
212040,3
212424,3
212936,2
213427,3
213673,2
214645,3
215171,2
215363,2
215376,2
215571,3
215694,3
215982,3
216066,2
216253,3
216458,2
217612,2
217818,3
218584,3
218617,2
218774,3
218810,3
218927,3
218982,3
219007,2
219201,3
219396,3
219453,2
219503,3
219724,3
219733,2
219831,3
219886,2
219935,3
220065,2
220688,3
220851,2
221062,2
221140,3
221232,2
221401,3
221548,3
223477,2
223512,3
223526,2
223583,3
223676,3
223704,3
223836,3
224055,3
224206,3
224246,3
224331,3
224562,2
224714,3
224768,2
224842,3
225133,3
226391,2
226516,3
226549,2
226573,2
226598,2
226727,2
226862,3
226905,2
226959,3
227009,2
227137,3
227239,3
227280,3
227459,3
227488,3
228088,3
228478,3
228684,3
228766,3
228978,2
229205,3
229371,2
229423,3
229553,3
229658,3
230010,3
230286,3
230340,3
230407,3
230502,2
230936,3
230995,2
231408,3
231557,3
231682,2
231772,3
232018,3
232712,3
232844,2
233277,3
233627,3
234182,3
234341,3
234544,3
234847,2
235187,2.928571429
235366,3
235608,2
235697,3
235814,2
235886,2
236029,3
236223,3
236671,2
236752,3
236821,3
237571,3
237857,2
238009,3
238088,3
238139,3
238395,2
238468,2
238544,3
238576,3
239264,3
239567,3
239577,2
239747,3
240175,3
240270,3
240500,2
241056,3
241333,2.952380952
241559,3
241625,2
241655,2
241723,3
241833,3
242144,2
242473,3
242595,2
242828,3
243266,2
243392,2
243418,2
243430,2
243556,2
243678,3
243693,3
243739,3
243759,2
244059,3
244065,2
244520,2
244581,2
244625,2
244837,3
244849,2
244870,3
245234,3
245318,3
245344,3
245345,2
245385,3
245399,3
245771,2
245847,3
